tracker_id,solo_KillDeathRatio,solo_WinRatio,solo_RoundsPlayed,solo_Wins,solo_WinTop10Ratio,solo_Top10s,solo_Top10Ratio,solo_Losses,solo_DamagePg,solo_HeadshotKillsPg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg,solo_Top10sPg,solo_Kills,solo_Assists,solo_HeadshotKillRatio,solo_AvgSurvivalTime
94323,0.69,0.29,1035,3,0.04,69,6.7,1032,101.35,0.13,1.18,0.68,1763.06,747.43,0.07,708,63,0.19,747.43
82116,0.89,0,1021,0,0,45,4.4,1021,108.75,0.25,0.84,0.89,2707.87,664.05,0.04,911,90,0.28,664.05
87415,0.66,0.88,1020,9,0.05,96,9.4,1011,91.2,0.17,1.38,0.66,2414.06,735.57,0.09,670,71,0.25,910.95
50947,1.84,1.67,1015,17,0.18,97,9.6,998,211,0.52,1.11,1.8,2502.13,657.39,0.1,1832,78,0.29,604.86
79923,0.85,0.89,1008,9,0.04,95,9.4,999,113.45,0.19,1.25,0.85,2491.32,831.77,0.09,854,70,0.23,1064.52
71441,0.77,0.5,1006,5,0.04,103,10.2,1001,107.02,0.15,1.82,0.77,2170.72,834.99,0.1,775,71,0.19,935.22
151826,0.69,0.4,1002,4,0.02,67,6.7,998,87.58,0.1,0.95,0.68,2203.39,710.95,0.07,685,41,0.15,633.11
134913,0.65,0.5,1000,5,0.07,92,9.2,995,87.39,0.12,1.77,0.65,3149.72,878.44,0.09,650,59,0.19,968.39
182905,1.12,0.91,994,9,0.1,90,9.1,985,134.83,0.26,1.27,1.11,1597.8,867.97,0.09,1099,56,0.24,874.8
199463,0.93,0.51,990,5,0.05,70,7.1,985,118.14,0.2,0.96,0.93,1658.31,587.72,0.07,920,64,0.21,475.97
41939,0.97,0.81,986,8,0.07,108,11,978,118.61,0.15,0.83,0.96,2217.03,800.08,0.11,944,60,0.16,800.08
19514,1.44,0.61,980,6,0.14,48,4.9,974,170.05,0.32,1.08,1.43,1131.76,562.31,0.05,1403,100,0.22,589.28
184896,0.46,0.1,974,1,0.01,70,7.2,973,65,0.11,1.13,0.46,2561.24,785.27,0.07,445,44,0.24,787.46
30342,1.1,1.04,964,10,0.06,178,18.5,954,138.02,0.18,1.38,1.09,2709.98,1059.53,0.18,1054,73,0.16,1059.53
30135,1.25,0.31,961,3,0.03,68,7.1,958,157.19,0.27,1.09,1.25,1949.56,776.06,0.07,1198,69,0.22,832.78
84164,0.94,0.31,960,3,0.02,37,3.9,957,120.79,0.26,0.42,0.94,1641.85,610.81,0.04,903,50,0.28,677.69
116119,1.23,1.46,956,14,0.02,175,18.3,942,151.26,0.25,1.04,1.22,4407.72,946.12,0.18,1163,104,0.21,736.16
13477,1.42,1.47,955,14,0.11,160,16.8,941,167.95,0.25,2.42,1.4,2614.15,902.21,0.17,1340,70,0.18,910.39
6500,1.28,1.47,950,14,0.17,102,10.7,936,151.31,0.25,1.48,1.26,2826.53,846.41,0.11,1195,75,0.2,975.66
35617,1.61,1.89,950,18,0.21,87,9.2,932,189.86,0.33,1.63,1.58,1475.7,591.59,0.09,1504,102,0.21,591.59
43566,1.59,2.01,947,19,0.06,102,10.8,928,181.39,0.27,1.06,1.56,2126.49,675.43,0.11,1480,79,0.17,741.6
53251,1.05,1.16,945,11,0.12,115,12.2,934,131.89,0.21,1.85,1.03,2301.78,867.26,0.12,978,63,0.2,1029.64
166187,1.31,1.06,945,10,0.18,99,10.5,935,156.67,0.3,1.34,1.3,2236.73,786.22,0.1,1229,59,0.23,868.45
137381,2.16,3.18,942,30,0.11,141,15,912,251.34,0.37,1.24,2.09,1996.79,820.15,0.15,1966,123,0.18,845.39
55859,1.47,1.06,940,10,0.1,85,9,930,171.2,0.34,1.79,1.45,2090.95,702.55,0.09,1367,68,0.23,715.75
56569,0.84,0.11,938,1,0.06,70,7.5,937,106.43,0.12,1.31,0.84,1534.89,624.92,0.07,785,54,0.15,660.17
15855,1.18,1.18,936,11,0.15,129,13.8,925,145.77,0.21,2.13,1.17,3647.33,946.6,0.14,1092,76,0.18,940.38
124016,1.62,0.97,928,9,0.11,69,7.4,919,194.91,0.3,1.21,1.61,1505.74,581.82,0.07,1491,82,0.19,887.37
73477,1.49,1.73,925,16,0.1,113,12.2,909,174.84,0.3,2.56,1.46,2867.89,801.02,0.12,1350,76,0.21,573.57
198619,0.86,0.86,925,8,0.08,68,7.4,917,101.34,0.13,1,0.85,1594.76,683.69,0.07,787,56,0.15,683.25
47314,0.97,0.32,924,3,0.04,68,7.4,921,123.64,0.26,1.42,0.97,1884.53,660.18,0.07,896,77,0.27,639.84
132438,1.02,0.76,922,7,0.02,152,16.5,915,133.21,0.2,1.35,1.02,3525.31,1026.68,0.16,937,65,0.19,1073.51
136012,2.1,2.28,922,21,0.19,91,9.9,901,231.22,0.52,1.98,2.05,2934.8,718.47,0.1,1888,81,0.26,724.03
73974,1.38,2.94,918,27,0.08,201,21.9,891,172.62,0.33,1.31,1.34,3145.84,960.91,0.22,1228,95,0.25,744.24
